S_0,v_0,kappa,theta,gamma,rho,r,K,T,EEP
100.0,0.0303221192517068,3.89929944669236,0.0251029257476129,0.0704911124286782,-0.4821929141397029,0.024205029489088,90,0.75,0.036463750720727
100.0,0.0303221192517068,3.89929944669236,0.0251029257476129,0.0704911124286782,-0.4821929141397029,0.024205029489088,95,0.75,0.0830117823718263
100.0,0.0303221192517068,3.89929944669236,0.0251029257476129,0.0704911124286782,-0.4821929141397029,0.024205029489088,100,0.75,0.169438646743365
100.0,0.0303221192517068,3.89929944669236,0.0251029257476129,0.0704911124286782,-0.4821929141397029,0.024205029489088,105,0.75,0.3145856866344685
100.0,0.0303221192517068,3.89929944669236,0.0251029257476129,0.0704911124286782,-0.4821929141397029,0.024205029489088,110,0.75,0.5391771593652823
100.0,0.0303221192517068,3.89929944669236,0.0251029257476129,0.0704911124286782,-0.4821929141397029,0.024205029489088,90,1.0,0.0625424397463123
100.0,0.0303221192517068,3.89929944669236,0.0251029257476129,0.0704911124286782,-0.4821929141397029,0.024205029489088,95,1.0,0.1276058903059072
100.0,0.0303221192517068,3.89929944669236,0.0251029257476129,0.0704911124286782,-0.4821929141397029,0.024205029489088,100,1.0,0.2385512227167439
100.0,0.0303221192517068,3.89929944669236,0.0251029257476129,0.0704911124286782,-0.4821929141397029,0.024205029489088,105,1.0,0.4132963009174384
100.0,0.0303221192517068,3.89929944669236,0.0251029257476129,0.0704911124286782,-0.4821929141397029,0.024205029489088,110,1.0,0.671230731149663
100.0,0.0728383098312684,3.9204612926776568,0.0824595523450902,0.0776768410371005,-0.7676558348005199,0.0688143187023057,90,0.5,0.1049290991537041
100.0,0.0728383098312684,3.9204612926776568,0.0824595523450902,0.0776768410371005,-0.7676558348005199,0.0688143187023057,95,0.5,0.1897658114110942
100.0,0.0728383098312684,3.9204612926776568,0.0824595523450902,0.0776768410371005,-0.7676558348005199,0.0688143187023057,100,0.5,0.3225472368495765
100.0,0.0728383098312684,3.9204612926776568,0.0824595523450902,0.0776768410371005,-0.7676558348005199,0.0688143187023057,105,0.5,0.5196105779531255
100.0,0.0728383098312684,3.9204612926776568,0.0824595523450902,0.0776768410371005,-0.7676558348005199,0.0688143187023057,110,0.5,0.8000092305339184
100.0,0.0728383098312684,3.9204612926776568,0.0824595523450902,0.0776768410371005,-0.7676558348005199,0.0688143187023057,90,0.75,0.2068624727868342
100.0,0.0728383098312684,3.9204612926776568,0.0824595523450902,0.0776768410371005,-0.7676558348005199,0.0688143187023057,95,0.75,0.3360021167680074
100.0,0.0728383098312684,3.9204612926776568,0.0824595523450902,0.0776768410371005,-0.7676558348005199,0.0688143187023057,100,0.75,0.520943812097225
100.0,0.0728383098312684,3.9204612926776568,0.0824595523450902,0.0776768410371005,-0.7676558348005199,0.0688143187023057,105,0.75,0.776256247102987
100.0,0.0728383098312684,3.9204612926776568,0.0824595523450902,0.0776768410371005,-0.7676558348005199,0.0688143187023057,110,0.75,1.1183517065764228
100.0,0.0728383098312684,3.9204612926776568,0.0824595523450902,0.0776768410371005,-0.7676558348005199,0.0688143187023057,90,1.0,0.3242841160289984
100.0,0.0728383098312684,3.9204612926776568,0.0824595523450902,0.0776768410371005,-0.7676558348005199,0.0688143187023057,95,1.0,0.4967959743898289
100.0,0.0728383098312684,3.9204612926776568,0.0824595523450902,0.0776768410371005,-0.7676558348005199,0.0688143187023057,100,1.0,0.7310887919836944
100.0,0.0728383098312684,3.9204612926776568,0.0824595523450902,0.0776768410371005,-0.7676558348005199,0.0688143187023057,105,1.0,1.0406576056171808
100.0,0.0728383098312684,3.9204612926776568,0.0824595523450902,0.0776768410371005,-0.7676558348005199,0.0688143187023057,110,1.0,1.4403861226665633
100.0,0.0051773779515611,1.2859886599363937,0.061317309129001,0.0405822872538458,-0.5328318363549505,0.0709056585263379,90,0.5,0.015338311545214
100.0,0.0051773779515611,1.2859886599363937,0.061317309129001,0.0405822872538458,-0.5328318363549505,0.0709056585263379,95,0.5,0.0605456431880033
100.0,0.0051773779515611,1.2859886599363937,0.061317309129001,0.0405822872538458,-0.5328318363549505,0.0709056585263379,100,0.5,0.2053889890854514
100.0,0.0051773779515611,1.2859886599363937,0.061317309129001,0.0405822872538458,-0.5328318363549505,0.0709056585263379,105,0.5,0.6665566897630351
100.0,0.0051773779515611,1.2859886599363937,0.061317309129001,0.0405822872538458,-0.5328318363549505,0.0709056585263379,110,0.5,2.1322116771832267
100.0,0.0051773779515611,1.2859886599363937,0.061317309129001,0.0405822872538458,-0.5328318363549505,0.0709056585263379,90,0.75,0.0492718790931901
100.0,0.0051773779515611,1.2859886599363937,0.061317309129001,0.0405822872538458,-0.5328318363549505,0.0709056585263379,95,0.75,0.1305374878243284
100.0,0.0051773779515611,1.2859886599363937,0.061317309129001,0.0405822872538458,-0.5328318363549505,0.0709056585263379,100,0.75,0.3160463063683094
100.0,0.0051773779515611,1.2859886599363937,0.061317309129001,0.0405822872538458,-0.5328318363549505,0.0709056585263379,105,0.75,0.718977903370007
100.0,0.0051773779515611,1.2859886599363937,0.061317309129001,0.0405822872538458,-0.5328318363549505,0.0709056585263379,110,0.75,2.013669980661356
